NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Chihuahua,San Francisco de Conchos,1.5007180348,1.2629111686,1.4952235384,2.4416666667,1.3160569106
Chihuahua,San Francisco del Oro,1.522074454,1.2476851674,14.6824575921,2.2773109244,1.4408141403
Chihuahua,Santa Bárbara,1.5502554991,1.4702067325,16.0924795171,2.4513179167,1.6327477334
Chihuahua,Satevó,1.5413812746,1.3540589686,3.7041030249,2.4923076923,1.4798973482
Chihuahua,Saucillo,1.7108765805,1.5340606291,10.6115315215,2.3458539496,1.7384588258
Chihuahua,Temósachic,2.1048683671,1.6324476699,4.8338374672,3.5250737463,1.9464963756
Chihuahua,El Tule,2.0075181639,1.5098709125,0.9419674452,2.5894308943,1.7506213753
Chihuahua,Urique,3.4072991858,2.5105931567,0.5978762973,4.1499326146,3.1675622172
Chihuahua,Uruachi,3.1428369635,2.3389626335,1.2316844083,3.978515625,3.1002658564
Chihuahua,Valle de Zaragoza,1.6052144538,1.4789610654,2.0964187328,2.353200883,1.5649190228
